ID,name,code,country,industry_ID,revenue,establishedOn
11111111-1111-1111-1111-111111111111,ABC Corporation,ABC,India,10000000-0000-0000-0000-000000000002,150000000,2010-01-01
12121212-1212-1212-1212-121212121212,Silver Mining Ltd,SML,South Africa,10000000-0000-0000-0000-000000000007,390000000,2001-03-27
22222222-2222-2222-2222-222222222222,XYZ Technologies,XYZ,USA,10000000-0000-0000-0000-000000000019,850000000,2015-06-15
23232323-2323-2323-2323-232323232323,Prime Textiles,PTX,Bangladesh,10000000-0000-0000-0000-000000000008,112000000,2017-07-11
33333333-3333-3333-3333-333333333333,Global Pharma Ltd,GPL,Germany,10000000-0000-0000-0000-000000000009,420000000,2008-03-12
34343434-3434-3434-3434-343434343434,CloudSoft Solutions,CSS,Ireland,10000000-0000-0000-0000-000000000019,715000000,2019-05-06
44444444-4444-4444-4444-444444444444,Green Energy Corp,GEC,Canada,10000000-0000-0000-0000-000000000005,670000000,2012-08-25
45454545-4545-4545-4545-454545454545,Ocean Fisheries,OFS,Norway,10000000-0000-0000-0000-000000000018,92000000,2013-01-19
55555555-5555-5555-5555-555555555555,Sunrise Retail,SRL,India,10000000-0000-0000-0000-000000000004,98000000,2016-11-10
56565656-5656-5656-5656-565656565656,Urban Infrastructure,UIC,India,10000000-0000-0000-0000-000000000016,510000000,2002-11-03
66666666-6666-6666-6666-666666666666,Blue Ocean Shipping,BOS,Singapore,10000000-0000-0000-0000-000000000010,530000000,2005-07-18
67676767-6767-6767-6767-676767676767,AgriHarvest Farms,AHF,Australia,10000000-0000-0000-0000-000000000020,126000000,2014-08-21
77777777-7777-7777-7777-777777777777,NextGen Finance,NGF,United Kingdom,10000000-0000-0000-0000-000000000003,760000000,2011-09-30
78787878-7878-7878-7878-787878787878,Smart Manufacturing Inc,SMI,Mexico,10000000-0000-0000-0000-000000000002,275000000,2018-05-16
88888888-8888-8888-8888-888888888888,Skyline Construction,SKC,Australia,10000000-0000-0000-0000-000000000017,310000000,2009-04-22
89898989-8989-8989-8989-898989898989,Retail World,RWD,India,10000000-0000-0000-0000-000000000004,184000000,2017-02-10
99999999-9999-9999-9999-999999999999,Fusion Foods,FFD,France,10000000-0000-0000-0000-000000000011,185000000,2014-02-14
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Digital Dynamics,DDY,Japan,10000000-0000-0000-0000-000000000001,920000000,2013-12-05
abababab-abab-abab-abab-abababababab,Secure Bank Corp,SBC,Singapore,10000000-0000-0000-0000-000000000003,680000000,2006-10-30
acacacac-acac-acac-acac-acacacacacac,Future Energy Systems,FES,Denmark,10000000-0000-0000-0000-000000000005,430000000,2015-03-12
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,HealthFirst Hospitals,HFH,UAE,10000000-0000-0000-0000-000000000012,275000000,2007-05-20
bcbcbcbc-bcbc-bcbc-bcbc-bcbcbcbcbcbc,AutoMotion Ltd,AML,Germany,10000000-0000-0000-0000-000000000013,810000000,2003-11-09
cccccccc-cccc-cccc-cccc-cccccccccccc,Metro Motors,MMT,South Korea,10000000-0000-0000-0000-000000000013,1250000000,2003-10-15
cdcdcdcd-cdcd-cdcd-cdcd-cdcdcdcdcdcd,Global Telecom Solutions,GTS,Finland,10000000-0000-0000-0000-000000000015,595000000,2012-06-18
dddddddd-dddd-dddd-dddd-dddddddddddd,Eco Plastics,EPL,Brazil,10000000-0000-0000-0000-000000000014,143000000,2018-01-08
dededede-dede-dede-dede-dededededede,ChemCore Industries,CCI,Switzerland,10000000-0000-0000-0000-000000000014,360000000,2000-12-01
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,Quantum Electronics,QEL,Taiwan,10000000-0000-0000-0000-000000000006,880000000,2006-06-28
efefefef-efef-efef-efef-efefefefefef,MicroChip Devices,MCD,Malaysia,10000000-0000-0000-0000-000000000006,450000000,2016-04-08
ffffffff-ffff-ffff-ffff-ffffffffffff,Nordic Telecom,NTC,Sweden,10000000-0000-0000-0000-000000000015,640000000,2004-09-17
f1f1f1f1-f1f1-f1f1-f1f1-f1f1f1f1f1f1,Ocean Freight Logistics,OFL,Netherlands,10000000-0000-0000-0000-000000000010,520000000,2011-07-27
